ENST,ENSG,Gene
ENST00000374690.9,ENSG00000169083,AR
ENST00000396043.2,ENSG00000169083,AR
ENST00000504326.5,ENSG00000169083,AR
ENST00000613054.2,ENSG00000169083,AR
ENST00000269305.8,ENSG00000141510,TP53
ENST00000445888.6,ENSG00000141510,TP53
ENST00000455263.6,ENSG00000141510,TP53
ENST00000504290.5,ENSG00000141510,TP53
ENST00000504937.5,ENSG00000141510,TP53
ENST00000510385.5,ENSG00000141510,TP53
ENST00000610292.4,ENSG00000141510,TP53
ENST00000610538.4,ENSG00000141510,TP53
ENST00000610623.4,ENSG00000141510,TP53
ENST00000617185.4,ENSG00000141510,TP53
ENST00000618944.4,ENSG00000141510,TP53
ENST00000619485.4,ENSG00000141510,TP53
ENST00000620739.4,ENSG00000141510,TP53
ENST00000622645.4,ENSG00000141510,TP53
ENST00000368653.7,ENSG00000148773,MKI67
ENST00000368654.8,ENSG00000148773,MKI67
ENST00000307046.8,ENSG00000017427,IGF1
ENST00000337514.10,ENSG00000017427,IGF1
ENST00000392905.7,ENSG00000017427,IGF1
ENST00000424202.6,ENSG00000017427,IGF1